time,BBL,BBM,BBU,Histogram,Histogram_before,Histogram_after,BBU_before,BBU_after,BBM_before,BBM_after,BBL_before,BBL_after,Cluster
05/11/2012,4543.82532064509,4786.5,5029.17467935491,-21.89479081,4.3865825478950615,-12.62186398,4949.450158278181,5005.317591395783,4834.785714285715,4704.571428571428,4720.121270293247,4403.825265747074,1
06/11/2012,4474.758796832973,4762.5,5050.241203167027,-29.07996833,-0.425255473,-6.628241453,4959.959349002454,4986.926767333223,4824.714285714285,4687.857142857143,4689.469222426118,4388.787518381062,1
07/11/2012,4438.935531041993,4739.5,5040.064468958007,-26.74058662,-6.148964734,-0.906524129,4977.314416062895,4967.013232107434,4812.642857142857,4672.571428571428,4647.971298222818,4378.129625035423,1
08/11/2012,4408.703950802461,4717.5,5026.296049197539,-22.96031922,-11.30964337,3.7087159164851187,4992.846447156685,4946.24875382403,4797.857142857143,4658.142857142857,4602.8678385576,4370.0369604616835,1
09/11/2012,4381.659850557266,4697.5,5013.340149442734,-18.42276924,-15.45644469,7.3800460170002635,5005.458046985843,4923.944161807786,4780.785714285715,4644.285714285715,4556.113381585585,4364.627266763642,1
12/11/2012,4375.566136087053,4685.5,4995.433863912947,-5.310149556,-18.53282062,8.88295247479694,5015.2364607732625,4900.301696166503,4761.857142857143,4629.714285714285,4508.477824941022,4359.126875262069,1
13/11/2012,4372.884863076218,4671.5,4970.115136923782,3.5674024638280457,-19.54958072,9.018870208373212,5021.789939938492,4875.608359738973,4742.142857142857,4614.714285714285,4462.495774347221,4353.820211689597,1
14/11/2012,4374.267731831556,4658.0,4941.732268168444,10.593342618514498,-17.2630259,8.179136939690256,5017.809364422422,4849.762031356174,4722.928571428572,4599.285714285715,4428.047778434721,4348.809397215255,1
15/11/2012,4369.494565270882,4645.5,4921.505434729118,12.875389373860358,-12.62186398,6.844430913443189,5005.317591395783,4821.548091143689,4704.571428571428,4583.214285714285,4403.825265747074,4344.880480284882,1
16/11/2012,4364.33027762253,4632.5,4900.66972237747,13.31143464871495,-6.628241453,5.0715170224897905,4986.926767333223,4792.012606651238,4687.857142857143,4566.571428571428,4388.787518381062,4341.130250491619,1
